scenario,source_operation,source_service,target_service
compose,nginx-web-server_/wrk2-api/post/compose,nginx-web-server,nginx-thrift
compose,nginx-thrift_ComposePost,nginx-thrift,compose-post-service
compose,compose-post-service_UploadUniqueId,compose-post-service,unique-id-service
compose,compose-post-service_UploadCreator,compose-post-service,user-service
compose,compose-post-service_UploadText,compose-post-service,text-service
compose,compose-post-service_UploadMedia,compose-post-service,media-service
compose,compose-post-service_UploadUrls,compose-post-service,url-shorten-service
compose,compose-post-service_UploadUserMentions,compose-post-service,user-mention-service
compose,compose-post-service_StorePost,compose-post-service,post-storage-service
compose,compose-post-service_WriteUserTimeline,compose-post-service,user-timeline-service
compose,compose-post-service_GetFollowers,compose-post-service,social-graph-service
compose,compose-post-service_FanoutHomeTimelines,compose-post-service,write-home-timeline-service
compose,compose-post-service_RedisHashSet,compose-post-service,compose-post-redis
compose,text-service_UploadText,text-service,text-service
compose,text-service_ParseText,text-service,text-service
compose,media-service_UploadMedia,media-service,media-service
compose,media-service_ComposeMedia,media-service,compose-post-service
compose,url-shorten-service_UploadUrls,url-shorten-service,url-shorten-service
compose,url-shorten-service_MemcachedGet,url-shorten-service,url-shorten-memcached
compose,url-shorten-service_MongoFindUrl,url-shorten-service,url-shorten-mongodb
compose,url-shorten-service_MongoInsertUrl,url-shorten-service,url-shorten-mongodb
compose,user-mention-service_UploadUserMentions,user-mention-service,user-service
compose,user-service_UploadUserWithUserId,user-service,user-memcached
compose,user-service_MongoFindUser,user-service,user-mongodb
compose,user-service_MemcachedSet,user-service,user-memcached
compose,post-storage-service_StorePost,post-storage-service,post-storage-service
compose,post-storage-service_MemcachedSetPost,post-storage-service,post-storage-memcached
compose,post-storage-service_MongoInsertPost,post-storage-service,post-storage-mongodb
compose,user-timeline-service_WriteUserTimeline,user-timeline-service,user-timeline-service
compose,user-timeline-service_MongoInsert,user-timeline-service,user-timeline-mongodb
compose,user-timeline-service_RedisUpdate,user-timeline-service,user-timeline-redis
compose,social-graph-service_GetFollowers,social-graph-service,social-graph-service
compose,social-graph-service_RedisGet,social-graph-service,social-graph-redis
compose,social-graph-service_RedisInsert,social-graph-service,social-graph-redis
compose,social-graph-service_MongoFindUser,social-graph-service,social-graph-mongodb
compose,write-home-timeline-service_FanoutHomeTimelines,write-home-timeline-service,write-home-timeline-service
compose,write-home-timeline-service_RedisUpdate,write-home-timeline-service,home-timeline-redis
compose,write-home-timeline-service_PublishMessage,write-home-timeline-service,write-home-timeline-rabbitmq
home,nginx-web-server_/wrk2-api/home-timeline/read,nginx-web-server,nginx-thrift
home,nginx-thrift_ReadHomeTimeline,nginx-thrift,home-timeline-service
home,home-timeline-service_ReadHomeTimeline,home-timeline-service,home-timeline-service
home,home-timeline-service_RedisFind,home-timeline-service,home-timeline-redis
home,home-timeline-service_ReadPosts,home-timeline-service,post-storage-service
home,post-storage-service_ReadPosts,post-storage-service,post-storage-service
home,post-storage-service_MemcachedMget,post-storage-service,post-storage-memcached
home,post-storage-service_MmcSetPost,post-storage-service,post-storage-memcached
home,post-storage-service_MongoFindPosts,post-storage-service,post-storage-mongodb
user,nginx-web-server_/wrk2-api/user-timeline/read,nginx-web-server,nginx-thrift
user,nginx-thrift_ReadUserTimeline,nginx-thrift,user-timeline-service
user,user-timeline-service_ReadUserTimeline,user-timeline-service,user-timeline-service
user,user-timeline-service_RedisFind,user-timeline-service,user-timeline-redis
user,user-timeline-service_MongoFindUserTimeline,user-timeline-service,user-timeline-mongodb
user,user-timeline-service_ReadPosts,user-timeline-service,post-storage-service
user,user-timeline-service_RedisUpdate,user-timeline-service,user-timeline-redis
user,post-storage-service_ReadPosts,post-storage-service,post-storage-service
user,post-storage-service_MemcachedMget,post-storage-service,post-storage-memcached
user,post-storage-service_MmcSetPost,post-storage-service,post-storage-memcached
user,post-storage-service_MongoFindPosts,post-storage-service,post-storage-mongodb
